mp_id,full_name,club,mandate_status,district_number,label,count,url
090,Krzysztof Gawkowski,Lewica,aktywny,4,Wypowiedzi łącznie,6,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=090&type=P&symbol=WYPOWIEDZI_POSLA
091,Zdzisław Gawlik,KO,aktywny,23,Wypowiedzi,16,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=091&type=P&symbol=WYPOWIEDZI_POSLA
092,Andrzej Gawron,PiS,aktywny,28,Wypowiedzi łącznie,2,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=092&type=P&symbol=WYPOWIEDZI_POSLA
093,Grzegorz Gaża,PiS,aktywny,27,Wypowiedzi,6,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=093&type=P&symbol=WYPOWIEDZI_POSLA
094,Elżbieta Gelert,KO,aktywny,34,Wypowiedzi,24,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=094&type=P&symbol=WYPOWIEDZI_POSLA
095,Anna Gembicka,PiS,aktywny,5,Wypowiedzi łącznie,4,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=095&type=P&symbol=WYPOWIEDZI_POSLA
096,Artur Daniel Gierada,KO,aktywny,33,Wypowiedzi,13,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=096&type=P&symbol=WYPOWIEDZI_POSLA
097,Roman Giertych,KO,aktywny,33,Wypowiedzi,9,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=097&type=P&symbol=WYPOWIEDZI_POSLA
098,Włodzisław Giziński,KO,aktywny,4,Wypowiedzi,5,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=098&type=P&symbol=WYPOWIEDZI_POSLA
099,Szymon Giżyński,PiS,aktywny,28,Wypowiedzi,71,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=099&type=P&symbol=WYPOWIEDZI_POSLA
100,Piotr Gliński,PiS,aktywny,19,Wypowiedzi,28,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=100&type=P&symbol=WYPOWIEDZI_POSLA
101,Tomasz Głogowski,KO,aktywny,29,Wypowiedzi,27,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=101&type=P&symbol=WYPOWIEDZI_POSLA
102,Piotr Głowski,KO,aktywny,38,Wypowiedzi,45,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=102&type=P&symbol=WYPOWIEDZI_POSLA
103,Marta Golbik,KO,aktywny,29,Wypowiedzi łącznie,1,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=103&type=P&symbol=WYPOWIEDZI_POSLA
104,Małgorzata Golińska,PiS,aktywny,40,Wypowiedzi,101,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=104&type=P&symbol=WYPOWIEDZI_POSLA
105,Kazimierz Gołojuch,PiS,aktywny,23,Wypowiedzi,16,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=105&type=P&symbol=WYPOWIEDZI_POSLA
106,Adam Gomoła,niez.,aktywny,21,Wypowiedzi,41,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=106&type=P&symbol=WYPOWIEDZI_POSLA
107,Robert Gontarz,PiS,aktywny,34,Wypowiedzi,18,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=107&type=P&symbol=WYPOWIEDZI_POSLA
108,Stanisław Gorczyca,KO,aktywny,34,Wypowiedzi,8,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=108&type=P&symbol=WYPOWIEDZI_POSLA
109,Mariusz Gosek,PiS,aktywny,33,Wypowiedzi,9,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=109&type=P&symbol=WYPOWIEDZI_POSLA
110,Daria Gosek-Popiołek,Lewica,aktywny,13,Wypowiedzi łącznie,12,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=110&type=P&symbol=WYPOWIEDZI_POSLA
111,Małgorzata Gosiewska,PiS,wygasl,19,Wypowiedzi,2,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=111&type=P&symbol=WYPOWIEDZI_POSLA
112,Piotr Górnikiewicz,Polska2050-TD,aktywny,15,Wypowiedzi,43,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=112&type=P&symbol=WYPOWIEDZI_POSLA
113,Agnieszka Górska,PiS,aktywny,17,Wypowiedzi łącznie,1,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=113&type=P&symbol=WYPOWIEDZI_POSLA
114,Krzysztof Grabczuk,KO,aktywny,7,Wypowiedzi,56,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=114&type=P&symbol=WYPOWIEDZI_POSLA
115,Jan Grabiec,KO,aktywny,20,Brak aktywności,,
116,Marcin Grabowski,PiS,aktywny,18,Wypowiedzi łącznie,1,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=116&type=P&symbol=WYPOWIEDZI_POSLA
117,Michał Gramatyka,Polska2050-TD,aktywny,31,Wypowiedzi łącznie,22,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=117&type=P&symbol=WYPOWIEDZI_POSLA
118,Małgorzata Gromadzka,KO,aktywny,7,Wypowiedzi,64,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=118&type=P&symbol=WYPOWIEDZI_POSLA
119,Marek Gróbarczyk,PiS,aktywny,41,Wypowiedzi łącznie,17,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=119&type=P&symbol=WYPOWIEDZI_POSLA
120,Andrzej Grzyb,PSL-TD,aktywny,36,Wypowiedzi,86,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=120&type=P&symbol=WYPOWIEDZI_POSLA
